Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Machine Learning', 'SQL', 'MySQL', 'Spark', 'Data Warehouse', 'PostgreSQL', 'Data Analysis', 'Python', 'Web Development', 'AWS']",11,Success Academy Charter Schools,91,3,NY,Missing,"Less than 10,000",Education and Schools,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Associate, Data Engineer, Healthcare",120000-139999,data_engineer,"['Linux', 'Hive', 'Perl', 'Azure', 'SQL', 'Big Data', 'Informatica', 'Data Mining', 'PowerShell', 'Pentaho', 'Hadoop', 'Tableau', 'Teradata', '.Net', 'Alteryx', 'MongoDB', 'Spark', 'Shell Scripting', 'Python', 'AWS']",20,KPMG LLP,4776,4,CA,Missing,missing,Consulting and Business Services,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Engineer,120000-139999,data_engineer,"['Java', 'Natural Language Processing', 'Machine Learning', 'Scala', 'Python', 'Military Experience']",6,Capital One,6791,4,VA,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Senior Data Engineer,120000-139999,data_engineer,"['MongoDB', 'NoSQL', 'Python', 'SQL', 'AWS']",5,Aaptiv,0,0,Missing,Missing,missing,Not Listed,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer - Azure Developer,120000-139999,data_engineer,"['Linux', 'Hive', 'Azure', 'SQL', 'PL/SQL', 'Business Intelligence', 'Data Mining', 'Hadoop', 'Oracle', 'SAS', 'HBase', 'Tableau', 'Data Warehouse', 'NoSQL']",14,"Resolvit, LLC",29,4,NC,Less than $1B (USD),"Less than 10,000",Consulting and Business Services,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Senior Data Engineer,120000-139999,data_engineer,"['Hive', 'Machine Learning', 'Google Cloud Platform', 'Azure', 'Apache', 'Big Data', 'Kubernetes', 'Software Development', 'Kafka', 'Java', 'Spark', 'Data Warehouse', 'Docker', 'REST', 'NoSQL', 'Elasticsearch', 'AWS']",17,Nordstrom,8955,4,WA,$5B to $10B (USD),"10,000+",Retail,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Machine Learning Data Engineer,120000-139999,data_engineer,"['AI', 'Machine Learning', 'Scala', 'Java', 'Natural Language Processing', 'Design Experience', 'Python', 'Military Experience']",8,Capital One,6791,4,NY,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Data Engineer Manager,120000-139999,data_engineer,"['Machine Learning', 'Hadoop', 'Azure', 'SQL', 'Tableau', 'Alteryx', 'Spark', 'Troubleshooting', 'Data Warehouse', 'Python']",10,Capital Group Companies,302,4,CA,$1B to $5B (USD),"Less than 10,000",Banks and Financial Services,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Big Data Engineer II,120000-139999,data_engineer,"['Linux', 'Hive', 'SQL', 'Big Data', 'Jenkins', 'Jira', 'SVN', 'TFS', 'Hadoop', 'Scripting', 'Scala', 'HBase', 'Java', 'Maven', 'Cassandra', 'Visual Studio', 'Spark', 'NoSQL', 'Shell Scripting', 'Python']",20,BCD Travel,327,4,USA,More than $10B (USD),"10,000+","Restaurants, Travel and Leisure",1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Data Engineer,120000-139999,data_engineer,"['Hive', 'Microsoft SQL Server', 'Hadoop', 'SAP', 'Oracle', 'SQL', 'HBase', 'Teradata', 'Tableau', 'Big Data', 'T-SQL', 'PL/SQL', 'Spark', 'QlikView', 'Shell Scripting', 'Python']",16,Novelis,195,4,GA,More than $10B (USD),"10,000+",Industrial Manufacturing,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
